2025-04-24-23:24:12;2025 0000 0885;Organic;Longitude:     43.3332520;Latitude:     -8.4663238;  11kg
2025-04-24-23:26:20;2025 0000 0901;Organic;Longitude:     43.3338928;Latitude:     -8.4638272;  22kg
2025-04-24-23:28:36;9063 4250 5486;Organic;Longitude:     43.3351555;Latitude:     -8.4634485;  49kg
2025-04-24-23:31:25;2025 0000 0830;Organic;Longitude:     43.3348656;Latitude:     -8.4671784;   0kg
2025-04-24-23:34:50;2025 0000 0917;Organic;Longitude:     43.3344841;Latitude:     -8.4640332;   0kg
2025-04-24-23:37:38;2025 0000 0750;Organic;Longitude:     43.3402901;Latitude:     -8.4561138;  64kg
2025-04-24-23:39:28;2025 0000 0744;Organic;Longitude:     43.3413963;Latitude:     -8.4544706;   0kg
2025-04-24-23:41:28;2025 0000 0726;Organic;Longitude:     43.3422775;Latitude:     -8.4544478;  60kg
2025-04-24-23:44:21;2025 0000 1015;Organic;Longitude:     43.3432388;Latitude:     -8.4517450;   0kg
2025-04-24-23:46:18;2025 0000 1019;Organic;Longitude:     43.3442574;Latitude:     -8.4507389;   0kg
2025-04-24-23:48:16;2025 0000 1011;Organic;Longitude:     43.3454590;Latitude:     -8.4503908;   0kg
2025-04-24-23:51:03;2025 0000 0964;Organic;Longitude:     43.3446960;Latitude:     -8.4495688;  54kg
2025-04-24-23:53:29;2025 0000 0977;Organic;Longitude:     43.3453827;Latitude:     -8.4477282;  59kg
2025-04-24-23:55:50;2025 0000 0985;Organic;Longitude:     43.3470574;Latitude:     -8.4460058;  13kg
2025-04-24-23:57:51;2025 0000 0998;Organic;Longitude:     43.3479614;Latitude:     -8.4441862;   3kg
